,world_region,BUChange,year,By,type
0,Europe,11936.391651467104,1975-1990,A-POP,positive
1,Europe,6589.757203318655,1990-2000,A-POP,positive
2,Europe,11519.469901265278,2000-2015,A-POP,positive
3,RusCA,5638.692698379611,1975-1990,A-POP,positive
4,RusCA,2087.3348550874425,1990-2000,A-POP,positive
5,RusCA,3766.7365582455677,2000-2015,A-POP,positive
6,LatinAmerica,12139.287189467925,1975-1990,A-POP,positive
7,LatinAmerica,7276.8697122832355,1990-2000,A-POP,positive
8,LatinAmerica,11128.156823335406,2000-2015,A-POP,positive
9,MEandNAF,6816.385748574723,1975-1990,A-POP,positive
10,MEandNAF,6411.757883247465,1990-2000,A-POP,positive
11,MEandNAF,9137.530334515088,2000-2015,A-POP,positive
12,CanUSA,18989.521278413817,1975-1990,A-POP,positive
13,CanUSA,17753.613332919827,1990-2000,A-POP,positive
14,CanUSA,23593.33193179278,2000-2015,A-POP,positive
15,SSAfrica,7912.221251463481,1975-1990,A-POP,positive
16,SSAfrica,7146.719705878364,1990-2000,A-POP,positive
17,SSAfrica,13014.124446985888,2000-2015,A-POP,positive
18,SEA,14313.17436538563,1975-1990,A-POP,positive
19,SEA,7017.156742310072,1990-2000,A-POP,positive
20,SEA,9265.940017845583,2000-2015,A-POP,positive
21,China,17034.606453524466,1975-1990,A-POP,positive
22,China,11908.826643916726,1990-2000,A-POP,positive
23,China,14984.227800060135,2000-2015,A-POP,positive
24,Oceania,1384.5557866087086,1975-1990,A-POP,positive
25,Oceania,950.4293667728329,1990-2000,A-POP,positive
26,Oceania,2180.082454321282,2000-2015,A-POP,positive
27,India,8206.509687616746,1975-1990,A-POP,positive
28,India,6130.941789408858,1990-2000,A-POP,positive
29,India,9229.310700051488,2000-2015,A-POP,positive
0,Europe,21632.044802875367,1975-1990,B-BPC,positive
1,Europe,17984.07827866313,1990-2000,B-BPC,positive
2,Europe,17869.431199169587,2000-2015,B-BPC,positive
3,RusCA,4922.846289403762,1975-1990,B-BPC,positive
4,RusCA,5612.665762964128,1990-2000,B-BPC,positive
5,RusCA,7033.291147693949,2000-2015,B-BPC,positive
6,LatinAmerica,3247.3012660228787,1975-1990,B-BPC,positive
7,LatinAmerica,5329.158488686463,1990-2000,B-BPC,positive
8,LatinAmerica,3016.4306747203386,2000-2015,B-BPC,positive
9,MEandNAF,2505.559498733764,1975-1990,B-BPC,positive
10,MEandNAF,1349.216823423214,1990-2000,B-BPC,positive
11,MEandNAF,968.2631954040689,2000-2015,B-BPC,positive
12,CanUSA,14696.071192170355,1975-1990,B-BPC,positive
13,CanUSA,18900.6919777082,1990-2000,B-BPC,positive
14,CanUSA,13345.526782660887,2000-2015,B-BPC,positive
15,SSAfrica,2403.523389635843,1975-1990,B-BPC,positive
16,SSAfrica,2656.821773399995,1990-2000,B-BPC,positive
17,SSAfrica,1435.9760890347984,2000-2015,B-BPC,positive
18,SEA,3515.6349676343675,1975-1990,B-BPC,positive
19,SEA,7503.665370641214,1990-2000,B-BPC,positive
20,SEA,6951.3186528478245,2000-2015,B-BPC,positive
21,China,28514.314255337154,1975-1990,B-BPC,positive
22,China,17735.42573629205,1990-2000,B-BPC,positive
23,China,30725.894337238577,2000-2015,B-BPC,positive
24,Oceania,758.5211203931649,1975-1990,B-BPC,positive
25,Oceania,342.2990024144806,1990-2000,B-BPC,positive
26,Oceania,130.22144447322125,2000-2015,B-BPC,positive
27,India,3430.3611422524864,1975-1990,B-BPC,positive
28,India,5620.656565799103,1990-2000,B-BPC,positive
29,India,5321.05157667597,2000-2015,B-BPC,positive
0,Europe,-1408.5333354731715,1975-1990,A-POP,negative
1,Europe,-2577.516543727014,1990-2000,A-POP,negative
2,Europe,-5368.334449378028,2000-2015,A-POP,negative
3,RusCA,-168.19689828223733,1975-1990,A-POP,negative
4,RusCA,-1245.096830244225,1990-2000,A-POP,negative
5,RusCA,-1994.8640674206695,2000-2015,A-POP,negative
6,LatinAmerica,-49.362655916555134,1975-1990,A-POP,negative
7,LatinAmerica,-72.89492686149777,1990-2000,A-POP,negative
8,LatinAmerica,-340.94582033240044,2000-2015,A-POP,negative
9,MEandNAF,-118.64687749534664,1975-1990,A-POP,negative
10,MEandNAF,-90.36228028359778,1990-2000,A-POP,negative
11,MEandNAF,-183.68796367631765,2000-2015,A-POP,negative
12,CanUSA,-984.2728273845172,1975-1990,A-POP,negative
13,CanUSA,-727.7735731248811,1990-2000,A-POP,negative
14,CanUSA,-1799.0701961739894,2000-2015,A-POP,negative
15,SSAfrica,-17.422843585368497,1975-1990,A-POP,negative
16,SSAfrica,-47.530449069093294,1990-2000,A-POP,negative
17,SSAfrica,-164.72422410063865,2000-2015,A-POP,negative
18,SEA,-133.4609184017832,1975-1990,A-POP,negative
19,SEA,-556.5200282257928,1990-2000,A-POP,negative
20,SEA,-1809.0494900855974,2000-2015,A-POP,negative
21,China,-7.893914898926999,1975-1990,A-POP,negative
22,China,-242.79613798979688,1990-2000,A-POP,negative
23,China,-2376.100728046968,2000-2015,A-POP,negative
24,Oceania,-4.505239359701401,1975-1990,A-POP,negative
25,Oceania,-0.5031123234084001,1990-2000,A-POP,negative
26,Oceania,-1.6396901294753998,2000-2015,A-POP,negative
27,India,-16.858902662944995,1975-1990,A-POP,negative
28,India,-12.828900288495502,1990-2000,A-POP,negative
29,India,-68.40621526850981,2000-2015,A-POP,negative
0,Europe,-4973.003521818939,1975-1990,B-BPC,negative
1,Europe,-1366.5177229565122,1990-2000,B-BPC,negative
2,Europe,-4585.778239965298,2000-2015,B-BPC,negative
3,RusCA,-2057.4026078240686,1975-1990,B-BPC,negative
4,RusCA,-294.3072502772658,1990-2000,B-BPC,negative
5,RusCA,-2086.2701908972795,2000-2015,B-BPC,negative
6,LatinAmerica,-7133.616898108263,1975-1990,B-BPC,negative
7,LatinAmerica,-1575.2786395167507,1990-2000,B-BPC,negative
8,LatinAmerica,-5824.266053700949,2000-2015,B-BPC,negative
9,MEandNAF,-3392.394954449501,1975-1990,B-BPC,negative
10,MEandNAF,-2557.8033952701253,1990-2000,B-BPC,negative
11,MEandNAF,-5652.7648167139905,2000-2015,B-BPC,negative
12,CanUSA,-4310.809573397978,1975-1990,B-BPC,negative
13,CanUSA,-3549.964371000203,1990-2000,B-BPC,negative
14,CanUSA,-6743.167983658126,2000-2015,B-BPC,negative
15,SSAfrica,-3991.425682893996,1975-1990,B-BPC,negative
16,SSAfrica,-2952.526671267397,1990-2000,B-BPC,negative
17,SSAfrica,-8728.708445524644,2000-2015,B-BPC,negative
18,SEA,-9895.756900523022,1975-1990,B-BPC,negative
19,SEA,-2422.375328675815,1990-2000,B-BPC,negative
20,SEA,-5760.557439706909,2000-2015,B-BPC,negative
21,China,-4489.980728800871,1975-1990,B-BPC,negative
22,China,-2099.420202309122,1990-2000,B-BPC,negative
23,China,-4207.803330908281,2000-2015,B-BPC,negative
24,Oceania,-585.9267079268519,1975-1990,B-BPC,negative
25,Oceania,-258.1736084052484,1990-2000,B-BPC,negative
26,Oceania,-1244.3913912262165,2000-2015,B-BPC,negative
27,India,-3095.26507380144,1975-1990,B-BPC,negative
28,India,-2088.58406502855,1990-2000,B-BPC,negative
29,India,-2835.6635335039937,2000-2015,B-BPC,negative
