,world_region,BUChange,year,By,type
0,Europe,10210.474213176629,1975-1990,A-POP,positive
1,Europe,6745.900949292822,1990-2000,A-POP,positive
2,Europe,10442.317540443248,2000-2015,A-POP,positive
3,RusCA,5395.691365479042,1975-1990,A-POP,positive
4,RusCA,2209.8224297926267,1990-2000,A-POP,positive
5,RusCA,3306.520532020313,2000-2015,A-POP,positive
6,LatinAmerica,10162.951190433716,1975-1990,A-POP,positive
7,LatinAmerica,7651.044620427798,1990-2000,A-POP,positive
8,LatinAmerica,9478.096860957285,2000-2015,A-POP,positive
9,MEandNAF,6016.130016813571,1975-1990,A-POP,positive
10,MEandNAF,5652.284747576622,1990-2000,A-POP,positive
11,MEandNAF,6783.546815117854,2000-2015,A-POP,positive
12,CanUSA,18783.27186827031,1975-1990,A-POP,positive
13,CanUSA,17911.311884905008,1990-2000,A-POP,positive
14,CanUSA,22082.8701963274,2000-2015,A-POP,positive
15,SSAfrica,6527.466128672673,1975-1990,A-POP,positive
16,SSAfrica,6551.106071484066,1990-2000,A-POP,positive
17,SSAfrica,9382.787644544776,2000-2015,A-POP,positive
18,SEA,9951.144997645535,1975-1990,A-POP,positive
19,SEA,6844.108806316836,1990-2000,A-POP,positive
20,SEA,7228.2381385188055,2000-2015,A-POP,positive
21,China,21797.673354816616,1975-1990,A-POP,positive
22,China,12855.439079519938,1990-2000,A-POP,positive
23,China,15376.216948509456,2000-2015,A-POP,positive
24,Oceania,1409.417679131779,1975-1990,A-POP,positive
25,Oceania,954.3811468621518,1990-2000,A-POP,positive
26,Oceania,1949.1476662782711,2000-2015,A-POP,positive
27,India,8114.309515014793,1975-1990,A-POP,positive
28,India,6632.5279036437405,1990-2000,A-POP,positive
29,India,9406.639430992283,2000-2015,A-POP,positive
0,Europe,21253.399944200595,1975-1990,B-BPC,positive
1,Europe,18249.62675128018,1990-2000,B-BPC,positive
2,Europe,19803.69656480529,2000-2015,B-BPC,positive
3,RusCA,4594.762518089556,1975-1990,B-BPC,positive
4,RusCA,5805.699007496506,1990-2000,B-BPC,positive
5,RusCA,7685.5374946205775,2000-2015,B-BPC,positive
6,LatinAmerica,2321.7881318897726,1975-1990,B-BPC,positive
7,LatinAmerica,4579.163623406295,1990-2000,B-BPC,positive
8,LatinAmerica,2849.2918799986555,2000-2015,B-BPC,positive
9,MEandNAF,1781.9544432311814,1975-1990,B-BPC,positive
